geneIDs	disper	pval	padj	TEtreated	TEcontrol	log2FC_TE(control vs treated)	
FBgn0267431	0.23388545995017831	0.6465106464239154	0.764419130074285	1.0026129249002982	0.04209923871270749	-4.573826782180132
FBgn0267430	nan	nan	nan	0.028604111285085748	0.09072931806599459	1.6653462940131796
FBgn0086917	nan	nan	nan	0.4227148646203125	0.7501145320403889	0.8274260467368376
FBgn0010247	0.024698062217577987	0.03044875148034043	0.08847106273776932	0.058764101713882334	0.03850308327773016	-0.6099611194116843
FBgn0086378	0.010332737491404221	0.11012392885964661	0.2265234131173224	0.05368304550888223	0.03769462742270147	-0.5101076075483029
FBgn0263977	0.0063597885264660235	0.00010000088229922266	0.0011393120247383363	0.03880807377535797	0.02561892040818925	-0.5991471460563007
FBgn0069923	0.016076531239223358	0.0003109470040484341	0.0027687857257840307	0.05591122420241964	0.03031842138332705	-0.8829432964393185
FBgn0039955	0.009719523627055705	0.43333861336939883	0.5887727673427174	0.010518966148992927	0.008610576677775043	-0.2888111492238128
FBgn0259821	nan	nan	nan	0.0203939040651265	0.024997001322566464	0.29361705627177237
FBgn0287209	0.11364303478453534	0.03624066986372154	0.10077590716178568	0.3792581554227553	0.3171691157829879	-0.2579279079468939
FBgn0058198	nan	nan	nan	0.748448262931553	0.7426924927482724	-0.011137596916164727
FBgn0037213	0.033153089755747885	1.922427801948068e-06	5.154852834652176e-05	0.017269976796144802	0.031180059608675172	0.8523575416494218
FBgn0000500	nan	nan	nan	0.5005836886250498	0.4935750566459371	-0.02034179382940371
FBgn0037215	0.0007158860191451762	0.7029231164511154	0.8040404494255095	0.020542236163266444	0.019643217720524637	-0.06456196313546059
FBgn0037217	nan	nan	nan	0.0963703885845504	0.022373684032444923	-2.1067870934011377
FBgn0037218	0.01437071892396317	0.0575068216061011	0.14142195107062136	0.007772457468596126	0.008743802353478016	0.16988997336865896
FBgn0051516	nan	nan	nan	0.012620081972783586	0.3062703373878752	4.601012460754268
FBgn0261436	0.012911414768175726	0.9181708034711809	0.9529480774760334	0.021130216464574643	0.022301232486863463	0.07781589671896416
FBgn0037220	0.0032899693147812117	0.10967075237917656	0.22580558327696568	0.03730335364770903	0.03068526260292591	-0.28175940750340267
FBgn0015331	0.006773363351395397	0.003310387839507989	0.016736964241768338	0.022822623964943053	0.013892819165435479	-0.7161252865428382
FBgn0010225	0.008336134225033081	1.1216826141469127e-05	0.00020897253268027348	0.03919954626405632	0.05530576812922802	0.4965929993571283
